2263	2600	2285	2736
2024	2953	2026	3055
2958	1877	3066	1959
2890	2009	2989	2126
2966	1952	3015	1993
2482	2124	2569	2212
2175	2499	2354	2647
2976	1903	3195	2109
3503	1635	3686	1743
3052	1844	3140	1901
2315	2375	2363	2467
2061	2701	2134	2822
3302	1795	3503	1882
3765	1610	3898	1676
3179	1775	3374	1833
3131	1806	3336	1899
3229	1823	3310	1851
2705	2039	2788	2053
2455	2331	2699	2442
4519	1455	4606	1485
4031	1538	4235	1613
3311	1719	3591	1829
3762	1623	3961	1712
3929	1534	4084	1553
4809	1414	4997	1457
4254	1476	4464	1557
3389	1698	3465	1722
4860	1428	5127	1557
5141	1410	5387	1506
4954	1416	5244	1467
2285	2467	2315	2600
2026	2822	2061	2953
3547	1676	3765	1854
3066	1833	3179	1877
2989	1899	3131	2009
3015	1851	3229	1952
2569	2053	2705	2124
2354	2442	2455	2499
4316	1485	4519	1591
3834	1613	4031	1730
3465	1699	3848	1883
3686	1657	4018	1809
3195	1829	3311	1903
3686	1553	3929	1635
4518	1457	4809	1669
3140	1722	3389	1844
4428	1520	4752	1659
2867	1959	2958	2099
2791	1993	2966	2182
2363	2212	2482	2375
2134	2647	2175	2701
3250	1743	3503	2042
2824	1901	3052	2140
2248	2641	2385	2836
3898	1606	4006	1610
3374	1770	3475	1775
3336	1764	3510	1806
3310	1804	3465	1823
2788	2025	2936	2039
4606	1441	4914	1455
4235	1516	4441	1538
3591	1678	3862	1719
4084	1527	4279	1534
4997	1406	5191	1414
4464	1449	4698	1476
3465	1663	3744	1698
5127	1399	5275	1428
5387	1386	5599	1410
5827	1366	6063	1450
5244	1400	5582	1416
5735	1386	6115	1424
