2687	2415	2687	2415
3430	1665	4267	2784
3121	1826	3884	2587
2803	1853	3476	2765
2742	2125	3394	2996
2764	1747	3691	2604
2899	1995	3901	2752
2924	2301	3262	2833
3142	1606	4006	2609
2868	2106	3685	2781
2573	2280	3546	3009
2773	1770	3475	2421
2902	2243	3797	2976
3702	1695	4545	2760
2743	1764	3510	2779
2884	2233	3920	3121
2350	2092	3355	3262
2619	1804	3465	2628
2912	1922	3823	3119
2570	2200	3489	3417
3581	1737	4642	2789
2949	1976	3646	3026
3443	1791	4215	2693
2679	2210	3724	3009
2524	2491	3510	3242
2177	2512	2915	3135
2263	2025	2936	2736
2548	2380	3379	3127
2747	2393	3416	3262
2640	2441	3310	3247
2236	2561	2983	3276
2416	2689	3245	3247
2523	2286	3230	2988
3135	1869	3896	2662
2315	2615	3389	3634
2734	2285	3394	3130
2679	2512	3846	3306
2024	2318	2824	3055
2410	2502	3214	3355
2481	2663	3435	3638
2211	3050	3228	3887
2532	2557	3399	3692
2226	2785	2703	3519
2181	2588	3092	3408
2487	2272	3162	2867
2725	2365	3608	2998
2216	2770	2931	3245
2487	2175	3450	3160
2209	2427	2963	3056
2446	2611	3031	3156
3224	1847	4034	2610
2415	2076	3257	2979
2991	1761	3846	2674
2555	2693	3313	3511
2618	2364	3710	3266
3270	1950	4465	3222
3493	1441	4914	2890
3272	1678	4532	2845
3124	1928	4407	3062
3250	1516	4441	2855
3346	1778	4931	2927
3465	1951	4778	3181
3412	1741	4657	3037
4154	1419	5275	2833
3046	1656	4188	2815
3218	1887	4599	3229
2887	1936	4002	3275
3044	1604	4422	2801
3218	1779	4549	2984
3299	1933	4503	3122
3045	2002	4128	3065
4007	1547	5353	2640
3308	1785	4415	2838
3229	1939	4445	3249
2914	2038	4314	3224
2704	2047	3726	3165
2730	1678	3862	2874
2858	1947	4232	2934
3241	2012	4354	3230
2753	2381	3844	3539
2731	2151	3675	3081
2983	1769	4030	2972
3658	1631	4748	2713
2871	2295	4107	3674
3039	1916	4228	3197
2626	1933	3720	3166
2839	2138	4037	3358
2641	2610	3958	3887
2758	2121	3840	3341
2863	1911	4094	2980
3226	1884	4645	3231
2693	2355	3868	3462
2961	1914	4271	3013
2775	2028	3733	3136
3756	1501	4936	2741
2872	1766	3968	2954
3606	1573	4847	2766
2902	2262	4032	3182
3040	1986	4427	3074
3435	1922	4822	3389
3125	1591	4209	2871
3268	1974	4609	3119
2722	1904	4178	3267
2991	1527	4279	2835
3234	1714	4728	3069
