2648	2789
3265	1654
2830	2110
2799	2373
2851	2087
3150	1674
3251	1659
2888	1982
2711	2606
2773	2430
2706	2711
2757	2535
3119	1743
2725	2567
2683	2731
2912	1977
3143	1702
3006	1810
2950	1954
2788	2397
2933	1964
3080	1771
2972	1876
2951	1885
3053	1789
2666	2769
3070	1773
2696	2723
2741	2551
2774	2406
3106	1762
2995	1843
2658	2773
2951	1885
2748	2548
3042	1792
3024	1804
2995	1843
2976	1853
3106	1762
3024	1804
2648	2789
3146	1699
2974	1855
2757	2535
2946	1961
3042	1792
2666	2769
2946	1961
3146	1699
2976	1853
2648	2789
3106	1762
3106	1762
2946	1961
2951	1885
2951	1885
2757	2535
3106	1762
2951	1885
2657	2808
3312	1659
2842	2122
2834	2389
3216	1676
2976	1874
2732	2593
3098	1785
2731	2718
2776	2466
2918	1979
3146	1703
3006	1813
2685	2770
3047	1792
2874	2102
3047	1792
3006	1813
2952	1962
2880	2094
2676	2793
2907	2000
2773	2519
2749	2567
2964	1946
2808	2446
3137	1760
2900	2032
2893	2048
2710	2726
3172	1690
2699	2735
2822	2443
3164	1693
2736	2581
2973	1906
3115	1772
3196	1688
2727	2721
2759	2540
3196	1688
2832	2412
2973	1906
2953	1948
2831	2427
2699	2735
2893	2048
2808	2446
3117	1767
2834	2389
2768	2536
3125	1763
3137	1760
2759	2540
2768	2536
3125	1763
2831	2427
2808	2446
2808	2446
2808	2446
3125	1763
2808	2446
2808	2446
3125	1763
2808	2446
2808	2446
3125	1763
3196	1688
3125	1763
3125	1763
2893	2048
2808	2446
3196	1688
3196	1688
3196	1688
3196	1688
3196	1688
3137	1760
3125	1763
3125	1763
3125	1763
3125	1763
3125	1763
2808	2446
3125	1763
3125	1763
2893	2048
3125	1763
3125	1763
3329	1672
2657	2818
2849	2127
2848	2391
3233	1686
3319	1681
3008	1829
2983	1888
2742	2666
3193	1695
2834	2392
3019	1819
2822	2451
3059	1813
2909	2056
3136	1766
2747	2593
2878	2122
2897	2061
2721	2729
2664	2808
2932	1984
2952	1971
3167	1707
2967	1969
3104	1789
2974	1936
2885	2094
3147	1726
3229	1693
3069	1792
2755	2570
2737	2711
2911	2001
2699	2775
2687	2793
2738	2699
2924	1998
3162	1716
2711	2743
2978	1916
2880	2099
2703	2763
2687	2793
2798	2478
2747	2593
2980	1904
2759	2553
2773	2541
2782	2540
2710	2754
2789	2533
2796	2513
3109	1788
3149	1722
3319	1681
3329	1672
2911	2001
2848	2391
3062	1806
2759	2553
3123	1767
3123	1767
3115	1776
3115	1776
2797	2497
2821	2461
2789	2533
2797	2497
2796	2513
2806	2474
2813	2469
2806	2474
2773	2541
2820	2467
2813	2469
3229	1693
3069	1792
3064	1797
3064	1797
2820	2467
3149	1722
2759	2553
2820	2467
2911	2001
2820	2467
2820	2467
3149	1722
3123	1767
2911	2001
2820	2467
3319	1681
2911	2001
2797	2497
2820	2467
2820	2467
2658	2853
3363	1685
2861	2177
2757	2611
3330	1686
2739	2758
2891	2106
2956	1973
2853	2346
2911	2018
3248	1691
2831	2459
2809	2523
3149	1725
2834	2425
2984	1919
2786	2575
2678	2818
2850	2366
